"0","-89"
"1","-90"
"2","-84"
"3","-90"
"4","-92"
"5","-90"
"6","-91"
"7","-88"
"8","-88"
"9","-84"
"10","-84"
"11","-87"
"12","-86"
"13","-83"
"14","-83"
"15","-84"
"16","-83"
"17","-85"
"18","-85"
"19","-84"
"20","-86"
"21","-86"
"22","-85"
"23","-84"
"24","-87"
"25","-101"
"26","-92"
"27","-86"
"28","-97"
"29","-83"
"30","-94"
"31","-86"
"32","-83"
"33","-86"
"34","-83"
"35","-93"
"36","-86"
"37","-83"
"38","-85"
"39","-84"
"40","-84"
"41","-87"
"42","-84"
"43","-86"
"44","-84"
"45","-83"
"46","-88"
"47","-84"
"48","-83"
"49","-85"
"50","-84"
"51","-85"
"52","-86"
"53","-84"
"54","-87"
"55","-87"
"56","-87"
"57","-86"
"58","-85"
"59","-85"
"60","-84"
"61","-87"
"62","-84"
"63","-84"
"64","-84"
"65","-89"
"66","-84"
"67","-83"
"68","-87"
"69","-84"
"70","-85"
"71","-83"
"72","-83"
"73","-86"
"74","-85"
"75","-85"
"76","-86"
"77","-84"
"78","-83"
"79","-85"
"80","-84"
"81","-84"
"82","-85"
"83","-85"
"84","-85"
"85","-84"
"86","-85"
"87","-87"
"88","-88"
"89","-88"
"90","-87"
"91","-85"
"92","-85"
"93","-86"
"94","-84"
"95","-86"
"96","-83"
"97","-83"
"98","-90"
"99","-86"
"100","-84"
"101","-86"
"102","-85"
"103","-85"
"104","-84"
"105","-95"
"106","-86"
"107","-83"
"108","-86"
"109","-88"
"110","-84"
"111","-83"
"112","-87"
"113","-85"
"114","-84"
"115","-84"
"116","-87"
"117","-87"
"118","-84"
"119","-84"
"120","-85"
"121","-85"
"122","-85"
"123","-87"
"124","-87"
"125","-85"
"126","-84"
"127","-87"
"128","-87"
"129","-85"
"130","-84"
"131","-88"
"132","-83"
"133","-83"
"134","-87"
"135","-83"
"136","-87"
"137","-85"
"138","-88"
"139","-85"
"140","-87"
"141","-85"
"142","-87"
"143","-85"
"144","-89"
"145","-86"
"146","-86"
"147","-86"
"148","-85"
"149","-86"
"150","-87"
"151","-87"
"152","-86"
"153","-84"
"154","-83"
"155","-85"
"156","-82"
"157","-85"
"158","-87"
"159","-87"
"160","-87"
"161","-83"
"162","-87"
"163","-85"
"164","-87"
"165","-86"
"166","-87"
"167","-84"
"168","-83"
"169","-87"
"170","-86"
"171","-85"
"172","-84"
"173","-86"
"174","-88"
"175","-84"
"176","-85"
"177","-83"
"178","-86"
"179","-86"
"180","-84"
"181","-84"
"182","-85"
"183","-84"
"184","-86"
"185","-86"
"186","-84"
"187","-84"
"188","-85"
"189","-83"
"190","-87"
"191","-86"
"192","-84"
"193","-83"
"194","-84"
"195","-86"
"196","-84"
"197","-83"
"198","-83"
"199","-87"
"200","-85"
"201","-84"
"202","-83"
"203","-85"
"204","-87"
"205","-84"
"206","-87"
"207","-84"
"208","-84"
"209","-87"
"210","-84"
"211","-82"
"212","-83"
"213","-84"
"214","-85"
"215","-87"
"216","-84"
"217","-85"
"218","-86"
"219","-85"
"220","-87"
"221","-84"
"222","-84"
"223","-83"
"224","-86"
"225","-86"
"226","-84"
"227","-86"
"228","-86"
"229","-86"
"230","-85"
"231","-85"
"232","-84"
"233","-84"
"234","-85"
"235","-87"
"236","-84"
"237","-85"
"238","-86"
"239","-87"
"240","-83"
"241","99"
"242","-87"
"243","-84"
"244","-85"
"245","-84"
"246","-85"
"247","-83"
"248","-86"
"249","-86"
