Scan No,0.5m,1.0m,1.5m,2.0m,2.5m
186,-71,-78,-78,-86,-84
187,-70,-77,-77,-85,-84
188,-70,-77,-77,-84,-85
189,-70,-78,-77,-86,-85
190,-70,-77,-78,-85,-85
191,-70,-77,-78,-86,-85
192,-71,-77,-78,-86,-85
193,-71,-77,-78,-86,-85
194,-71,-77,-78,-85,-85
195,-71,-78,-78,-84,-85
196,-71,-78,-78,-83,-84
197,-71,-77,-78,-84,-83
198,-71,-78,-78,-85,-83
199,-71,-77,-77,-85,-83
200,-71,-78,-77,-85,-84
201,-71,-77,-78,-85,-84
202,-71,-78,-78,-84,-85
203,-72,-78,-78,-84,-85
204,-71,-78,-77,-85,-84
205,-71,-78,-77,-84,-84
206,-71,-78,-78,-85,-84
207,-72,-78,-78,-85,-85
208,-71,-77,-78,-85,-84
209,-72,-77,-78,-84,-84
210,-72,-77,-78,-85,-84
211,-71,-77,-78,-85,-84
212,-72,-77,-77,-85,-84
213,-72,-77,-77,-84,-83
214,-72,-78,-78,-84,-84
215,-72,-78,-78,-85,-84
216,-72,-78,-78,-84,-83
217,-72,-77,-78,-85,-84
218,-72,-77,-78,-85,-84
219,-72,-77,-78,-84,-85
220,-72,-77,-78,-85,-85
221,-72,-77,-78,-85,-85
222,-71,-77,-78,-84,-84
223,-72,-77,-78,-84,-85
224,-72,-77,-78,-84,-84
225,-72,-77,-78,-84,-84
226,-71,-77,-78,-85,-85
227,-71,-77,-78,-85,-85
228,-71,-77,-78,-85,-85
229,-71,-77,-78,-86,-84
230,-71,-77,-78,-85,-84
231,-70,-77,-78,-85,-85
232,-70,-77,-77,-85,-85
233,-70,-77,-77,-85,-85
234,-71,-77,-77,-84,-85
235,-70,-77,-77,-84,-84
236,-71,-77,-77,-84,-84
237,-71,-77,-77,-84,-83
238,-71,-77,-77,-84,-84
239,-72,-77,-78,-86,-85
240,-72,-77,-78,-86,-84
241,-71,-77,-78,-86,-83
242,-71,-78,-78,-85,-83
243,-72,-78,-78,-85,-83
244,-72,-78,-78,-85,-84
245,-71,-78,-78,-86,-84
246,-71,-78,-77,-86,-84
247,-72,-78,-77,-86,-84
248,-72,-77,-77,-85,-83
249,-71,-78,-77,-84,-83
