Scan No,0.5m,1.0m,1.5m,2.0m,2.5m
220,-80,-89,-92,-94,0
221,-80,-89,-91,,0
222,-80,-88,-91,-94,0
223,-80,-88,,-93,0
224,-80,-87,-91,-95,0
225,-80,-87,-91,-95,0
226,-80,-87,,-93,0
227,-80,-88,-91,-93,0
228,-80,-88,-91,-93,0
229,-80,-87,-91,-94,0
230,-80,-87,-91,-94,0
231,-80,-87,-91,-93,0
232,-80,-88,-91,-92,0
233,-80,-88,-92,-92,0
234,-80,-88,-91,-93,0
235,-80,-88,-91,-93,0
236,-80,-89,-92,-94,0
237,-80,-88,-92,-95,0
238,-81,-88,-92,-96,0
239,-80,-88,-91,-95,0
240,-80,-88,-88,-95,0
241,-80,-88,-87,-95,0
242,-80,-88,-87,-93,0
243,-80,-87,-87,-92,0
244,-80,-87,-87,-93,0
245,-81,-86,-86,-93,0
246,-81,-89,-86,-94,0
247,-80,-90,-86,-94,0
248,-80,-89,-86,-94,0
249,-82,-90,,-94,0
