Scan No,0.5m,1.0m,1.5m,2.0m,2.5m
187,-78,-81,-83,-89,-89
188,-76,-82,-83,-88,-89
189,-74,-83,-83,-86,-89
190,-77,-82,-85,-85,-91
191,-79,-83,-84,-88,-91
192,-76,-80,-84,-87,-91
193,-75,-78,-83,-88,-90
194,-76,-79,-83,-90,-91
195,-75,-79,-85,-90,-91
196,-77,-77,-85,-90,-90
197,-77,-80,-85,-89,-91
198,-79,-80,-84,-89,-91
199,-81,-82,-84,-88,-91
200,-84,-81,-85,-89,-90
201,-80,-83,-85,-88,-90
202,-82,-80,-85,-89,-90
203,-83,-77,-85,-89,-90
204,-84,-76,-85,-89,-91
205,-84,-78,-86,-89,-91
206,-84,-79,-86,-87,-90
207,-85,-77,-85,-87,-89
208,-85,-78,-85,-87,-90
209,-85,-77,-84,-88,-90
210,-85,-78,-85,-89,-90
211,-85,-79,-85,-90,-90
212,-85,-79,-84,-90,-90
213,-85,-81,-84,-90,-91
214,-86,-83,-83,-90,-92
215,-86,-84,-83,-90,-92
216,-86,-80,-83,-91,-91
217,-86,-78,-83,-89,-90
218,-82,-80,-85,-91,-90
219,-83,-78,-84,-90,-90
220,-84,-79,-85,-91,-90
221,-85,-81,-85,-89,-91
222,-81,-79,-85,-88,-90
223,-82,-79,-85,-89,-90
224,-83,-81,-84,-89,-91
225,-84,-81,-84,-90,-91
226,-80,-81,-85,-89,-92
227,-81,-83,-86,-90,-91
228,-83,-80,-86,-91,-91
229,-84,-78,-85,-89,-91
230,-84,-80,-86,-90,-90
231,-85,-82,-89,-90,-91
232,-81,-83,-88,-90,-90
233,-82,-82,-86,-91,-91
234,-83,-79,-86,-91,-91
235,-84,-79,-86,-89,-91
236,-81,-81,-87,-90,-93
237,-81,-81,-85,-90,-92
238,-82,-82,-86,-90,-91
239,-83,-83,-86,-89,-90
240,-80,-82,-86,-90,-90
241,-81,-83,-88,-91,-90
242,-79,-84,-87,-89,-90
243,-80,-84,-86,-88,-89
244,-78,-84,-85,-90,-91
245,-80,-85,-85,-89,-92
246,-81,-83,-85,-89,-91
247,-79,-84,-84,-91,-91
248,-76,-83,-85,-92,-91
249,-77,-80,-87,-92,-90
