Scan No,0.5m,1.0m,1.5m,2.0m,2.5m
186,-72,-80,-80,-84,-83
187,-72,-80,-79,-83,-84
188,-72,-80,-80,-81,-85
189,-73,-80,-79,-86,-86
190,-72,-81,-78,-85,-86
191,-72,-81,-79,-85,-87
192,-72,-80,-80,-85,-86
193,-72,-79,-80,-83,-87
194,-72,-79,-80,-84,-85
195,-72,-80,-80,-84,-85
196,-72,-80,-80,-84,-86
197,-72,-79,-80,-83,-86
198,-72,-79,-79,-83,-83
199,-72,-79,-79,-85,-85
200,-72,-78,-79,-85,-84
201,-73,-79,-79,-87,-83
202,-73,-80,-79,-85,-84
203,-73,-79,-79,-85,-86
204,-72,-79,-79,-85,-86
205,-73,-79,-79,-86,-84
206,-73,-79,-79,-85,-85
207,-73,-79,-79,-85,-86
208,-73,-79,-79,-85,-87
209,-73,-79,-78,-84,-87
210,-72,-79,-78,-87,-84
211,-72,-78,-78,-85,-83
212,-72,-78,-79,-83,-82
213,-72,-78,-79,-84,-84
214,-72,-78,-79,-84,-85
215,-72,-78,-79,-84,-86
216,-72,-77,-79,-85,-84
217,-72,-77,-79,-85,-85
218,-72,-77,-79,-84,-86
219,-72,-77,-79,-85,-83
220,-72,-77,-79,-85,-82
221,-72,-78,-79,-83,-84
222,-72,-78,-79,-84,-82
223,-73,-78,-79,-84,-83
224,-73,-78,-79,-83,-82
225,-73,-77,-78,-82,-82
226,-74,-78,-79,-83,-82
227,-73,-78,-78,-84,-83
228,-74,-78,-79,-85,-84
229,-73,-77,-78,-85,-85
230,-74,-77,-78,-85,-85
231,-74,-78,-79,-85,-84
232,-74,-78,-79,-84,-82
233,-74,-78,-80,-83,-83
234,-74,-77,-82,-84,-82
235,-73,-77,-81,-84,-84
236,-73,-78,-81,-83,-82
237,-73,-78,-81,-82,-84
238,-73,-78,-81,-83,-83
239,-73,-78,-80,-84,-84
240,-73,-78,-79,-86,-85
241,-73,-79,-79,-86,-83
242,-73,-79,-80,-84,-85
243,-73,-78,-79,-83,-86
244,-73,-79,-79,-82,-85
245,-73,-79,-79,-83,-85
246,-74,-79,-79,-83,-84
247,-74,-78,-79,-83,-85
248,-74,-78,-80,-84,-86
249,-73,-77,-81,-85,-88
