Scan No,0.5m,1.0m,1.5m,2.0m,2.5m
186,-72,-80,-84,-93,-95
187,-77,-81,-84,-90,-90
188,-77,-81,-85,-84,-92
189,-72,-82,-83,-89,-92
190,-72,-82,-87,-94,-91
191,-77,-81,-86,-84,-92
192,-72,-80,-84,-94,-91
193,-72,-81,-83,-84,-92
194,-78,-79,-84,-92,-89
195,-77,-80,-86,-87,-94
196,-69,-82,-84,-93,-91
197,-69,-82,-83,-84,-92
198,-72,-82,-83,-95,-91
199,-76,-82,-87,-87,-93
200,-78,-81,-85,-93,-92
201,-77,-82,-84,-87,-92
202,-77,-81,-83,-93,-90
203,-78,-82,-85,-87,-92
204,-69,-81,-87,-94,-93
205,-77,-81,-84,-84,-92
206,-73,-82,-87,-89,-94
207,-68,-80,-84,-83,-90
208,-69,-80,-84,-83,-92
209,-79,-81,-87,-92,-90
210,-69,-82,-84,-89,-94
211,-72,-79,-82,-86,-91
212,-77,-82,-83,-93,-93
213,-73,-80,-84,-83,-93
214,-78,-82,-85,-91,-89
215,-78,-81,-87,-93,-91
216,-69,-82,-84,-92,-93
217,-72,-80,-85,-89,-92
218,-78,-81,-86,-91,-92
219,-77,,-85,-96,-93
220,-72,-81,-87,-96,-94
221,-69,-79,-84,-92,-92
222,-78,-81,-84,-91,-91
223,-72,-82,-83,-87,-94
224,-78,-81,-86,-95,-98
225,-72,-79,-86,-92,-95
226,-68,-80,-84,-88,-90
227,-72,-83,-86,-92,-94
228,-70,-82,-86,-84,-89
229,-72,-81,-86,-93,-92
230,-78,-81,-85,-88,-90
231,-70,-80,-85,-90,-90
232,-73,-81,-84,-92,-91
233,-69,-81,-84,-93,-96
234,-78,-81,-85,-85,-90
235,-69,-80,-87,-91,-93
236,-70,-83,-84,-84,-93
237,-77,-83,-85,-91,-94
238,-77,-82,-86,-92,-92
239,-72,-84,-87,-84,-93
240,-77,-91,-83,-92,-93
241,-78,-82,,-91,-96
242,-70,-80,-87,-84,-91
243,-78,-82,-84,-86,-92
244,-73,-83,-85,-91,-92
245,-78,-81,-84,-90,-92
246,-72,-82,-85,-94,-91
247,-78,-79,-83,-88,-93
248,-72,-82,-86,-91,-92
249,-69,-81,-86,-93,-93
